taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
9403937	c33ce2f2-c3cc-43a5-a380-fe4526d63650	4677363			Meliponorytes sicula (Tosi, 1896)	(Tosi, 1896)	Meliponorytes sicula	Meliponorytes	sicula		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Meliponorytes
12242663	c8227bb4-4143-443f-8cb2-51f9576aff14	8721410			Plectoplebeia aurantia Engel, 2022	Engel, 2022	Plectoplebeia aurantia	Plectoplebeia	aurantia		species		Engel, Michael S. 2022. A second species of the stingless bee genus Plectoplebeia (Hymenoptera: Apidae). Entomologist's monthly magazine 158(2): 79-86.	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Plectoplebeia
1339372	7ddf754f-d193-4cc9-b351-99906754a03b	1339367			Parammobatodes rozeni Schwarz, 2003	Schwarz, 2003	Parammobatodes rozeni	Parammobatodes	rozeni		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Parammobatodes
1342000	7ddf754f-d193-4cc9-b351-99906754a03b	1341981			Trigonisca bidentata Albuquerque & Camargo, 2007	Albuquerque & Camargo, 2007	Trigonisca bidentata	Trigonisca	bidentata		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Trigonisca
1339368	7ddf754f-d193-4cc9-b351-99906754a03b	1339367			Parammobatodes maroccanus (Warncke, 1983)	(Warncke, 1983)	Parammobatodes maroccanus	Parammobatodes	maroccanus		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Parammobatodes
10735599	7ddf754f-d193-4cc9-b351-99906754a03b	1341981			Trigonisca mepecheu Engel & Gonzalez, 2019	Engel & Gonzalez, 2019	Trigonisca mepecheu	Trigonisca	mepecheu		species		Engel, Michael S., Jerome G. Rozen, Jr., Paula A. Sepúlveda-Cano, Corey Shepard Smith,... (2019). Nest Architecture, Immature Stages, and Ethnoentomologyof a New Species of Trigonisca from Northern Colombia (Hymenoptera: Apidae). American Museum Novitates, No. 3942.	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Trigonisca
12251003	c8227bb4-4143-443f-8cb2-51f9576aff14	1341981			Trigonisca sachamiski Alvarez & Lucia, 2018	Alvarez & Lucia, 2018	Trigonisca sachamiski	Trigonisca	sachamiski		species		Alvarez, Leopoldo J. & Mariano Lucia. 2018. Una especie nueva de Trigonisca y nuevos registros de abejas sin aguijón para la Argentina (Hymenoptera: Apidae). Caldasia 40(2): 232-245.	accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Trigonisca
10808638	7ddf754f-d193-4cc9-b351-99906754a03b	1341981			Trigonisca duckei (Friese, 1900)	(Friese, 1900)	Trigonisca duckei	Trigonisca	duckei		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Trigonisca
1342007	7ddf754f-d193-4cc9-b351-99906754a03b	1341981			Trigonisca hirticornis Albuquerque & Camargo, 2007	Albuquerque & Camargo, 2007	Trigonisca hirticornis	Trigonisca	hirticornis		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Trigonisca
1342015	7ddf754f-d193-4cc9-b351-99906754a03b	1341981			Trigonisca pipioli Ayala, 1999	Ayala, 1999	Trigonisca pipioli	Trigonisca	pipioli		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Trigonisca
1341987	7ddf754f-d193-4cc9-b351-99906754a03b	1341981			Trigonisca meridionalis Albuquerque & Camargo, 2007	Albuquerque & Camargo, 2007	Trigonisca meridionalis	Trigonisca	meridionalis		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Trigonisca
8551751	c33ce2f2-c3cc-43a5-a380-fe4526d63650	4677363			Meliponorytes succini Tosi, 1896	Tosi, 1896	Meliponorytes succini	Meliponorytes	succini		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Meliponorytes
1342008	7ddf754f-d193-4cc9-b351-99906754a03b	1341981			Trigonisca vitrifrons Albuquerque & Camargo, 2007	Albuquerque & Camargo, 2007	Trigonisca vitrifrons	Trigonisca	vitrifrons		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Apidae	Trigonisca
